k,silhouette_score,inertia
2,0.09677029431787788,299009.3663325782
3,0.06000347552643089,284813.8089466045
4,0.07539644436535732,272626.65791236475
5,0.09431527888694291,261028.48947890048
6,0.10884791699243285,251152.65268543173
7,0.10902336783983264,244713.6993998278
8,0.12524935139569088,233281.09673150143
9,0.09475978297598499,228178.60018625503
10,0.0866281775449185,224145.12602950213
