Cluster,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,47.365967365967364,2.296037296037296,36.83449883449884,3.7832167832167833,2.3613053613053614,2.4475524475524475,7358.24662004662,1089.2913752913753,6268.955244755244,0.739925407925408,4042.6806526806527,63.02564102564103,0.6931375291375291,0.27176923076923076
1,46.08069522036003,2.292985723153321,35.85599006828057,3.8162631905648667,2.3047796399751705,2.4761018001241464,4618.832774674115,1176.5623836126629,3442.2703910614523,0.7605965238981999,4273.6232153941655,64.27498448168839,0.7115332091868405,0.33383674736188707
2,46.21938775510204,2.2581632653061225,35.67448979591837,3.8653061224489798,2.3744897959183673,2.4479591836734693,7994.4395918367345,1101.1918367346939,6893.24775510204,0.7658785714285715,4129.614285714286,65.86632653061224,0.7184275510204081,0.23165102040816327
3,45.981952420016405,2.4347826086956523,35.58982772764561,3.8826907301066447,2.324036095159967,2.454470877768663,8737.04897456932,1153.2493847415915,7583.799589827727,0.7739696472518458,4236.583264971288,61.9532403609516,0.7250820344544708,0.22294831829368333
4,45.6021897810219,2.43978102189781,35.37956204379562,3.4160583941605838,2.281021897810219,2.458029197080292,25416.53832116788,1210.5419708029196,24205.996350364963,0.7621441605839415,6582.574817518248,74.6587591240876,0.7091113138686131,0.05732116788321168
5,46.34893489348935,2.2664266426642663,35.924392439243924,3.8574857485748573,2.3657365736573657,2.4203420342034203,3334.2476147614766,1159.5292529252924,2174.7183618361837,0.7533609360936093,4227.695169516952,65.57275727572757,0.713104110411041,0.39500540054005406
6,45.74264705882353,2.639705882352941,35.63235294117647,2.9044117647058822,2.301470588235294,2.4558823529411766,28690.941176470587,1333.0882352941176,27357.852941176472,0.7737058823529412,7878.867647058823,82.31617647058823,0.7003088235294118,0.055125
7,46.79208979155532,2.485301977552111,36.32602886157135,3.845002672367718,2.338321753073223,2.505077498663816,15708.111117049706,1185.8380545163016,14522.273062533404,0.7617899518973811,4275.768572955639,61.735435595938,0.7057696419027257,0.1470833778727953
